из + gent;"количество примеров для колонки ""из + gent""";на + gent;"количество примеров для колонки ""на + gent""";о + loct;"количество примеров для колонки ""о + loct""";по + datv;"количество примеров для колонки ""по + datv""";в + gent;"количество примеров для колонки ""в + gent""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";при + loct;"количество примеров для колонки ""при + loct""";на + loct;"количество примеров для колонки ""на + loct""";непрямое дополнение, ablt;"количество примеров для колонки ""непрямое дополнение, ablt""";по + loc2;"количество примеров для колонки ""по + loc2""";непрямое дополнение, loct;"количество примеров для колонки ""непрямое дополнение, loct""";для + gent;"количество примеров для колонки ""для + gent""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";в + nomn;"количество примеров для колонки ""в + nomn""";в + loct;"количество примеров для колонки ""в + loct""";у + accs;"количество примеров для колонки ""у + accs""";с + ablt;"количество примеров для колонки ""с + ablt""";о + datv;"количество примеров для колонки ""о + datv""";от + gent;"количество примеров для колонки ""от + gent""";непрямое дополнение, loc2;"количество примеров для колонки ""непрямое дополнение, loc2""";к + gent;"количество примеров для колонки ""к + gent""";непрямое дополнение, datv;"количество примеров для колонки ""непрямое дополнение, datv""";за + nomn;"количество примеров для колонки ""за + nomn""";о + gent;"количество примеров для колонки ""о + gent""";к + datv;"количество примеров для колонки ""к + datv""";к + accs;"количество примеров для колонки ""к + accs""";около + nomn;"количество примеров для колонки ""около + nomn""";на + nomn;"количество примеров для колонки ""на + nomn""";о + nomn;"количество примеров для колонки ""о + nomn""";по + nomn;"количество примеров для колонки ""по + nomn""";о + ablt;"количество примеров для колонки ""о + ablt""";в + accs;"количество примеров для колонки ""в + accs""";при + gent;"количество примеров для колонки ""при + gent""";у + gent;"количество примеров для колонки ""у + gent""";к + loct;"количество примеров для колонки ""к + loct""";до + gent;"количество примеров для колонки ""до + gent""";с + gent;"количество примеров для колонки ""с + gent""";через + nomn;"количество примеров для колонки ""через + nomn""";о + accs;"количество примеров для колонки ""о + accs""";с + nomn;"количество примеров для колонки ""с + nomn""";по + gent;"количество примеров для колонки ""по + gent""";по + loct;"количество примеров для колонки ""по + loct""";с + accs;"количество примеров для колонки ""с + accs""";после + gent;"количество примеров для колонки ""после + gent""";у + datv;"количество примеров для колонки ""у + datv""";в + loc2;"количество примеров для колонки ""в + loc2""";в + datv;"количество примеров для колонки ""в + datv""";на + datv;"количество примеров для колонки ""на + datv""";на + accs;"количество примеров для колонки ""на + accs""";между + ablt;"количество примеров для колонки ""между + ablt""";для + accs;"количество примеров для колонки ""для + accs""";для + nomn;"количество примеров для колонки ""для + nomn""";из + nomn;"количество примеров для колонки ""из + nomn""";через + accs;"количество примеров для колонки ""через + accs""";к + nomn;"количество примеров для колонки ""к + nomn""";относительно + gent;"количество примеров для колонки ""относительно + gent""";с + loct;"количество примеров для колонки ""с + loct""";согласно + datv;"количество примеров для колонки ""согласно + datv"""
случай;1;аксиома;1;первое;1;вектор;1;плоскость;1;следствие;1;доказательство;1;основа;1;аксиома;3;угол;1;высота;1;пирамида;1;равенство;7;год;1;точка;1;угол;1;основание;1;окружность;1;аксиома;1;угол;4;прямая;1;катет;1;основание;1;перпендикулярность;1;фигура;1;отрезка;1;окружность;1;построение;1;теорема;1;плата;1;радиус;1;отличие;1;симметрия;1;геометр;1;сторона;1;пересечение;1;время;1;центр;1;равенство;1;литр;1;аналогия;1;сторона;1;прямая;1;евклид;1;прямая;1;год;1;пирамида;1;отрезка;1;лемма;1;хорда;1;теорема;1;утверждение;1;упражнение;1;точка;1;теорема;1;плоскость;1;область;1;первое;1
;;;;;;;;;;признак;5;;;;;теорема;2;;;площадь;4;;;точка;2;;;;;;;;;;;;;;;;;вектор;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;теорема;8;;;;;размер;1;;;компланарность;2;;;прогрессия;1;;;;;;;;;;;;;;;;;угол;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;перпендикуляр;1;;;;;линия;1;;;вписанность;2;;;постулат;3;;;;;;;;;;;;;;;;;медиана;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;фалеса;3;;;;;метод;2;;;поверхность;2;;;попытка;1;;;;;;;;;;;;;;;;;полька;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;окружность;1;;;;;леонард;1;;;признак;1;;;теорема;24;;;;;;;;;;;;;;;;;фигура;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;утверждение;18;;;;;эйлер;1;;;;;;;сторона;1;;;;;;;;;;;;;;;;;признак;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;вектор;1;;;;;диаметр;1;;;;;;;существование;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;кавальери;2;;;;;математик;1;;;;;;;формула;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;мысль;1;;;;;конус;1;;;;;;;положение;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;диагональ;1;;;;;формула;1;;;;;;;угол;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;единственность;4;;;;;прямая;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;подобие;1;;;;;вектор;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;параллель;1;;;;;площадь;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;название;1;;;;;высота;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;определение;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;диаметр;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;карл;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;герман;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;шварц;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;дезарг;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;построение;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;правило;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;прямая;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;корректность;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;условие;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;плата;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;год;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;луч;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;совмещение;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;свойство;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;математик;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;эйлер;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
