непрямое дополнение, loct;"количество примеров для колонки ""непрямое дополнение, loct""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";в + datv;"количество примеров для колонки ""в + datv""";от + gent;"количество примеров для колонки ""от + gent""";до + gent;"количество примеров для колонки ""до + gent""";между + ablt;"количество примеров для колонки ""между + ablt""";между + gent;"количество примеров для колонки ""между + gent""";в + nomn;"количество примеров для колонки ""в + nomn""";на + loct;"количество примеров для колонки ""на + loct""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";с + ablt;"количество примеров для колонки ""с + ablt""";с + gent;"количество примеров для колонки ""с + gent""";при + loct;"количество примеров для колонки ""при + loct""";по + datv;"количество примеров для колонки ""по + datv""";из + gent;"количество примеров для колонки ""из + gent""";от + loct;"количество примеров для колонки ""от + loct""";до + loct;"количество примеров для колонки ""до + loct""";в + loct;"количество примеров для колонки ""в + loct""";с + accs;"количество примеров для колонки ""с + accs""";непрямое дополнение, datv;"количество примеров для колонки ""непрямое дополнение, datv""";под + ablt;"количество примеров для колонки ""под + ablt""";через + accs;"количество примеров для колонки ""через + accs""";о + accs;"количество примеров для колонки ""о + accs""";в + accs;"количество примеров для колонки ""в + accs""";в + gent;"количество примеров для колонки ""в + gent""";к + loct;"количество примеров для колонки ""к + loct""";на + gent;"количество примеров для колонки ""на + gent""";для + gent;"количество примеров для колонки ""для + gent""";непрямое дополнение, ablt;"количество примеров для колонки ""непрямое дополнение, ablt""";при + accs;"количество примеров для колонки ""при + accs""";между + nomn;"количество примеров для колонки ""между + nomn""";с + nomn;"количество примеров для колонки ""с + nomn""";к + accs;"количество примеров для колонки ""к + accs""";на + datv;"количество примеров для колонки ""на + datv""";на + accs;"количество примеров для колонки ""на + accs""";у + accs;"количество примеров для колонки ""у + accs""";к + datv;"количество примеров для колонки ""к + datv""";по + accs;"количество примеров для колонки ""по + accs""";по + loct;"количество примеров для колонки ""по + loct""";к + gent;"количество примеров для колонки ""к + gent""";о + loct;"количество примеров для колонки ""о + loct""";из + accs;"количество примеров для колонки ""из + accs""";на + nomn;"количество примеров для колонки ""на + nomn""";для + accs;"количество примеров для колонки ""для + accs""";для + nomn;"количество примеров для колонки ""для + nomn""";между + datv;"количество примеров для колонки ""между + datv""";между + accs;"количество примеров для колонки ""между + accs""";о + nomn;"количество примеров для колонки ""о + nomn""";в + ablt;"количество примеров для колонки ""в + ablt""";от + datv;"количество примеров для колонки ""от + datv""";при + gent;"количество примеров для колонки ""при + gent""";от + nomn;"количество примеров для колонки ""от + nomn""";среди + gent;"количество примеров для колонки ""среди + gent""";у + nomn;"количество примеров для колонки ""у + nomn""";внутри + gent;"количество примеров для колонки ""внутри + gent""";о + gent;"количество примеров для колонки ""о + gent""";из + nomn;"количество примеров для колонки ""из + nomn""";без + gent;"количество примеров для колонки ""без + gent""";по + gent;"количество примеров для колонки ""по + gent""";у + gent;"количество примеров для колонки ""у + gent"""
поверхность;76;воплощение;1;призма;1;центр;1;плоскость;1;сторона;1;образующая;1;радиус;1;сфера;1;угол;59;плоскость;1;прямая;1;основание;1;синус;1;угол;1;поверхность;1;поверхность;1;параллелепипед;1;угол;1;катет;2;угол;1;гипотенуза;1;хорда;1;угол;1;треугольник;1;площадь;1;ось;1;решение;1;полуось;1;угол;1;ребро;1;расстояние;1;угол;1;окружность;1;прямая;1;угол;1;основание;1;хорда;1;поверхность;1;четырёхугольник;1;грань;1;высота;1;вопрос;1;прямая;1;модуль;1;данные;1;угол;1;поверхность;1;плоскость;1;окружность;1;боков;1;литр;1;плоскость;1;год;1;тетраэдр;1;классификация;1;шаров;1;применение;1;фора;1;треугольник;1
площадь;14;расстояние;33;;;;;;;;;;;;;;;сумма;1;;;;;;;;;;;;;;;;;;;окружность;60;;;;;;;;;;;;;;;;;ребро;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
сторона;1;отрезка;49;;;;;;;;;;;;;;;высота;13;;;;;;;;;;;;;;;;;;;расстояние;2;;;;;;;;;;;;;;;;;математик;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
высота;1;периметр;4;;;;;;;;;;;;;;;точка;26;;;;;;;;;;;;;;;;;;;ребро;6;;;;;;;;;;;;;;;;;высота;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
грань;14;площадь;25;;;;;;;;;;;;;;;вес;1;;;;;;;;;;;;;;;;;;;явление;1;;;;;;;;;;;;;;;;;диаметр;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
путь;2;сантиметр;14;;;;;;;;;;;;;;;линия;1;;;;;;;;;;;;;;;;;;;параллель;1;;;;;;;;;;;;;;;;;продолжение;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ребро;1;катет;7;;;;;;;;;;;;;;;уравнение;1;;;;;;;;;;;;;;;;;;;вектор;1;;;;;;;;;;;;;;;;;сторона;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;тангенс;1;;;;;;;;;;;;;;;множество;1;;;;;;;;;;;;;;;;;;;основание;1;;;;;;;;;;;;;;;;;угол;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;диагональ;3;;;;;;;;;;;;;;;длина;10;;;;;;;;;;;;;;;;;;;сфера;1;;;;;;;;;;;;;;;;;столб;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;искомое;1;;;;;;;;;;;;;;;сторона;10;;;;;;;;;;;;;;;;;;;косинус;1;;;;;;;;;;;;;;;;;отрезок;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;радиус;17;;;;;;;;;;;;;;;отношение;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;плоскость;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;плата;8;;;;;;;;;;;;;;;значение;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;грань;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;сектор;2;;;;;;;;;;;;;;;образующая;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;боков;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;жёлоб;2;;;;;;;;;;;;;;;величина;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;основание;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;год;11;;;;;;;;;;;;;;;апофема;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ось;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;литр;3;;;;;;;;;;;;;;;египтянин;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;вашингтон;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;архимед;2;;;;;;;;;;;;;;;вершина;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;радиус;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;поверхность;4;;;;;;;;;;;;;;;дуга;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;сумма;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;человек;1;;;;;;;;;;;;;;;формула;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;разность;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;сто;1;;;;;;;;;;;;;;;контрпример;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;луч;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;ребро;3;;;;;;;;;;;;;;;место;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;метод;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;могила;1;;;;;;;;;;;;;;;гипотенуза;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;центр;2;;;;;;;;;;;;;;;проекция;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;ромб;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;отверстие;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;знак;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;вариант;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;окружность;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;рак;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;прямая;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;четыр;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;треугольник;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;шар;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;основание;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;предел;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;основа;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
