подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";при + loct;"количество примеров для колонки ""при + loct""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";непрямое дополнение, ablt;"количество примеров для колонки ""непрямое дополнение, ablt""";с + ablt;"количество примеров для колонки ""с + ablt""";в + gent;"количество примеров для колонки ""в + gent""";в + loct;"количество примеров для колонки ""в + loct""";у + gent;"количество примеров для колонки ""у + gent""";по + datv;"количество примеров для колонки ""по + datv""";относительно + gent;"количество примеров для колонки ""относительно + gent""";в + nomn;"количество примеров для колонки ""в + nomn""";при + gent;"количество примеров для колонки ""при + gent""";на + gent;"количество примеров для колонки ""на + gent""";в + accs;"количество примеров для колонки ""в + accs""";на + nomn;"количество примеров для колонки ""на + nomn""";непрямое дополнение, datv;"количество примеров для колонки ""непрямое дополнение, datv""";при + nomn;"количество примеров для колонки ""при + nomn""";через + accs;"количество примеров для колонки ""через + accs""";от + gent;"количество примеров для колонки ""от + gent""";с + nomn;"количество примеров для колонки ""с + nomn""";к + gent;"количество примеров для колонки ""к + gent""";из + gent;"количество примеров для колонки ""из + gent""";до + gent;"количество примеров для колонки ""до + gent""";на + loct;"количество примеров для колонки ""на + loct""";в + datv;"количество примеров для колонки ""в + datv""";к + datv;"количество примеров для колонки ""к + datv""";о + ablt;"количество примеров для колонки ""о + ablt""";через + nomn;"количество примеров для колонки ""через + nomn""";через + gent;"количество примеров для колонки ""через + gent""";непрямое дополнение, loct;"количество примеров для колонки ""непрямое дополнение, loct""";между + ablt;"количество примеров для колонки ""между + ablt""";до + accs;"количество примеров для колонки ""до + accs""";без + gent;"количество примеров для колонки ""без + gent""";из + nomn;"количество примеров для колонки ""из + nomn"""
часть;1;подобие;1;угол;2;угол;2;боков;1;часть;1;точка;1;цилиндр;1;определение;1;точка;1;цилиндр;1;гомотетия;1;секущая;1;угол;1;плоскость;1;окружность;1;луч;1;вершина;1;род;1;высказывание;1;плоскость;1;прямая;1;пора;1;основание;1;глава;1;окружность;1;радиус;1;центр;1;ося;1;площадь;1;вектор;1;угол;1;самопересечение;1;сечение;1
изображение;1;;;линия;3;плоскость;2;;;;;;;;;;;;;;;;;;;;;;;диаметр;1;;;;;;;;;;;;;;;;;;;;;;;;;;;случай;1;;;;;;;;
многоугольник;3;;;наложение;1;цилиндр;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
треугольник;2;;;раз;2;подобие;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
прямоугольник;1;;;проекция;1;грань;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
квадрат;1;;;наука;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
слово;2;;;глава;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
окружность;1;;;цилиндр;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
плоскость;3;;;фигура;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
метод;1;;;жертва;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
пятиугольник;1;;;симметрия;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
сечение;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
декарт;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
многогранник;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
признак;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
вариант;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
аналог;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
базис;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
диагональ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
операция;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
случай;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
класс;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
высота;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
прямая;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
простой;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
поверхность;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
вычисление;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
